1010 | Lawrence of Arabia (1962) | Gender: F | Average Rating: 3.31 | Total Ratings: 8
1010 | Lawrence of Arabia (1962) | Gender: M | Average Rating: 3.55 | Total Ratings: 10
1012 | Psycho (1960) | Gender: F | Average Rating: 4.00 | Total Ratings: 2
1013 | The Godfather: Part II (1974) | Gender: F | Average Rating: 3.94 | Total Ratings: 8
1013 | The Godfather: Part II (1974) | Gender: M | Average Rating: 4.06 | Total Ratings: 9
1015 | Sunset Boulevard (1950) | Gender: F | Average Rating: 4.50 | Total Ratings: 1
1015 | Sunset Boulevard (1950) | Gender: M | Average Rating: 4.33 | Total Ratings: 6
1020 | E.T. the Extra-Terrestrial (1982) | Gender: F | Average Rating: 3.55 | Total Ratings: 10
1020 | E.T. the Extra-Terrestrial (1982) | Gender: M | Average Rating: 3.81 | Total Ratings: 8
1025 | The Terminator (1984) | Gender: F | Average Rating: 4.14 | Total Ratings: 11
1025 | The Terminator (1984) | Gender: M | Average Rating: 3.93 | Total Ratings: 7
1028 | Fight Club (1999) | Gender: F | Average Rating: 3.50 | Total Ratings: 3
1028 | Fight Club (1999) | Gender: M | Average Rating: 3.50 | Total Ratings: 4
1030 | The Silence of the Lambs (1991) | Gender: F | Average Rating: 3.00 | Total Ratings: 4
1030 | The Silence of the Lambs (1991) | Gender: M | Average Rating: 3.33 | Total Ratings: 3
1037 | The Lord of the Rings: The Fellowship of the Ring (2001) | Gender: F | Average Rating: 3.80 | Total Ratings: 10
1037 | The Lord of the Rings: The Fellowship of the Ring (2001) | Gender: M | Average Rating: 4.00 | Total Ratings: 8
1039 | The Lord of the Rings: The Return of the King (2003) | Gender: F | Average Rating: 3.90 | Total Ratings: 5
1039 | The Lord of the Rings: The Return of the King (2003) | Gender: M | Average Rating: 3.75 | Total Ratings: 6
1040 | Gladiator (2000) | Gender: F | Average Rating: 3.64 | Total Ratings: 7
1040 | Gladiator (2000) | Gender: M | Average Rating: 3.59 | Total Ratings: 11
1043 | No Country for Old Men (2007) | Gender: F | Average Rating: 3.83 | Total Ratings: 6
1043 | No Country for Old Men (2007) | Gender: M | Average Rating: 3.92 | Total Ratings: 12
1047 | The Social Network (2010) | Gender: F | Average Rating: 3.67 | Total Ratings: 3
1047 | The Social Network (2010) | Gender: M | Average Rating: 4.00 | Total Ratings: 4
1050 | Mad Max: Fury Road (2015) | Gender: F | Average Rating: 3.32 | Total Ratings: 14
1050 | Mad Max: Fury Road (2015) | Gender: M | Average Rating: 4.00 | Total Ratings: 4
