Ten_Bai,Customer_Country,Customer_Country_Code,Total_Orders
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Germany,DE,41754
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",France,FR,12848
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Netherlands,NL,11629
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Belgium,BE,5464
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Austria,AT,5043
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Switzerland,CH,3640
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",United Kingdom,GB,3382
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Poland,PL,2139
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Czechia,CZ,2034
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Italy,IT,2025
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Spain,ES,1651
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Portugal,PT,1336
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Sweden,SE,975
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Denmark,DK,905
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Serbia,RS,746
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Norway,NO,716
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Slovakia,SK,534
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Slovenia,SI,495
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Turkey,TR,485
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Greece,GR,412
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Lithuania,LT,351
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Latvia,LV,280
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Croatia,HR,254
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Estonia,EE,148
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Finland,FI,81
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Luxembourg,LU,68
"Bài 3 - Phân tích số lượng đơn hàng theo quốc gia, sắp xếp giảm dần",Andorra,AD,46
