Ten_Bai,Product_Category_Name,Total_Revenue_2024,Total_Items_Sold
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Health_Beauty,885191.12,5951
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Watches_Gifts,771986.75,3703
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Bed_Bath_Table,650794.7,5884
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Sports_Leisure,621999.34,4527
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Computers_Accessories,594771.04,4708
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Housewares,491576.96,4046
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Furniture_Decor,476466.13,4118
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Auto,404210.57,2619
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Baby,299052.56,1776
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Cool_Stuff,273910.05,1473
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Garden_Tools,259068.32,1879
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Telephony,217452.13,2336
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Perfumery,204562.54,1636
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Toys,200634.07,1488
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Office_Furniture,181745.73,883
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Stationery,164743.85,1533
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Pet_Shop,152804.94,1159
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Construction_Tools_Construction,141187.34,795
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Electronics,134265.45,1863
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Musical_Instruments,121476.31,398
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Small_Appliances,97210.18,357
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Home_Appliances_2,96291.6,149
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,#N/A,90849.48,704
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Fashion_Bags_Accessories,85091.28,880
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Luggage_Accessories,77374.65,494
