Ten_Bai,Seller_ID,Total_Revenue,Total_Orders,Total_Items_Sold,Avg_Item_Revenue,Seller_Rank
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,4869f7a5dfa277a7dca6462dcf3b52b2,249640.7,1132,1156,215.95,1
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7c67e1448b00f6e969d365cea6b010ab,239536.44,982,1364,175.61,2
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,53243585a1d6dc2643021fd1853d8905,235856.68,358,410,575.26,3
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,4a3ca9315b744ce9f8e9374361493884,235539.96,1806,1987,118.54,4
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,fa1c13f2614d7b5c4749cbc52fecda94,204084.73,585,586,348.27,5
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,da8622b14eb17ae2831f4ac5b9dab84a,185192.32,1314,1551,119.4,6
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7e93a43ef30c4f03f38b393420bc753a,182754.05,336,340,537.51,7
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,1025f0e2d44d7041d6cf58b6550e0bfa,172860.69,915,1428,121.05,8
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7a67c85e85bb2ce8582c35f2203ad736,162648.38,1160,1171,138.9,9
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,955fee9216a65b617aa5c0531780ce60,160602.68,1287,1499,107.14,10
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,6560211a19b47992c3666cc44a7e94c0,151265.77,1854,2033,74.41,11
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,1f50f920176fa81dab994f9023523100,142104.98,1404,1931,73.59,12
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,46dc3b2cc0980fb8ec44634e21d2718e,139909.69,521,542,258.14,13
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,a1043bafd471dff536d0c462352beb48,133745.25,718,770,173.7,14
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,cc419e0650a3c5ba77189a1882b7556a,129957.41,1706,1775,73.22,15
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,620c87c171fb2a6dd6e8bb4dec959fc6,128909.71,740,798,161.54,16
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,5dceca129747e92ff8ef7a997dc4f8ca,125816.92,325,346,363.63,17
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7d13fca15225358621be4086e1eb0964,122261.02,565,578,211.52,18
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,3d871de0142ce09b7081e2b9d1733cb1,117347.71,1080,1147,102.31,19
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,edb1ef5e36e0c8cd84eb3c9b003e486d,83189.65,166,175,475.37,20
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,ccc4bbb5f32a6ab2b7066a4130f114e3,79261.6,187,192,412.82,21
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,cca3071e3e9bb7d12640c9fbe2301306,78381.29,712,830,94.44,22
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,8581055ce74af1daba164fdbd55a40de,74584.3,387,435,171.46,23
